OBJECTID,Neighborhood,Tax_ID,Address,Owner_Agency,Acquisition_Date,Purchase_Price,Funding_Source,CONDEMNED,RESTRICTIONS,Current_Use,Sq_Footage,Mowable_Sq_Footage,Zoning,Deed_Book,Deed_Page,Property_Description,Notes,Neighborhood_Plan,Available_For_Sale,Disposotion_Date,ORIG_FID,More_Details,GlobalID,SHAPE
62,Willow Oaks,0020217,226 S. English St,Redevelopment Commission of Greensboro,9/4/2002,10000,HOME,No,Yes,Vacant Lot,10847.768933,11250,RM-18,005600,01342,12 PB3-4 JOHN A YOUNG,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,67,Null,{261CD20D-5B44-4900-956B-ADD52BEF85D9},Point
63,Willow Oaks,0010613,701 Dorgan Ave,Redevelopment Commission of Greensboro,3/21/2012,70000,HOME,No,Yes,Vacant Lot,8887.147235,9260,TN,007224,00761,PT10-11 PB2-79DORGAN-SAND & 6858-2650 &,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,68,Null,{ECA93CAC-0D39-4849-9AE7-77E39D1B5549},Point
64,Willow Oaks,0010602,728 Gillespie St,Redevelopment Commission of Greensboro,12/30/2010,Null,,No,Yes,Vacant Lot,5636.421995,4845,TN,007203,00993,19 PB 172-17 WILLOW OAKS ZONE D,THE COUNTY HAS THE ADDRESSES FLIPPED B/T 726 & 728 GILLESPIE ST,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,69,Null,{15BB87AB-2C3A-4A5E-90EB-D7FA4AE52452},Point
65,Willow Oaks,0010601,726 Gillespie St,Greensboro Housing Development Partnership,9/9/2011,60000,HOME,No,Yes,Vacant Lot,4937.693845,4845,TN,007271,02310,18 PB172-17 WILLOW OAK ZD 6816-2471,THE COUNTY HAS THE ADDRESSES FLIPPED B/T 726 & 728 GILLESPIE ST,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,70,Null,{7A3A22B8-671E-4F7E-8EF3-483A6EA1D136},Point
66,Willow Oaks,0010568,647 S. O Henry Blvd,Redevelopment Commission of Greensboro,Null,Null,Null,No,Yes,Vacant Lot -Not Buildable,7642.409418,7642,TN,005718,02097,31 ZONE D PB 172-18 WILLOW OAKS,VACANT LOT -NOT BUILDABLE,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,71,Null,{D0CA86F6-023D-4F81-B401-04C068CE9CB3},Point
67,Willow Oaks,0010570,649 S. O Henry Blvd,Redevelopment Commission of Greensboro,Null,Null,Null,No,Yes,Vacant Lot -Not Buildable,5921.043136,5921,TN,005718,02097,30 ZONE D PB 172-18 WILLOW OAKS,VACANT LOT -NOT BUILDABLE,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,72,Null,{173F97B2-7D00-43B1-A781-63F86DC2E5A5},Point
68,Willow Oaks,0013436,2115 Everitt St,Redevelopment Commission of Greensboro,3/4/2016,Null,Null,No,Yes,Vacant Lot,21840.952224,21825,TN,007652,00538,EVERETT ST APTS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,73,Subject to RFP Process,{8F136105-E8B8-46BE-8D99-970452348A55},Point
69,Willow Oaks,0013502,2116 Everitt St,Redevelopment Commission of Greensboro,3/4/2016,Null,Null,No,Yes,Vacant Lot,27901.016961,27685,TN,007652,00538,EVERITT ST APTS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,74,Subject to RFP Process,{C3CE1CE1-E1B4-476A-B437-F87959A6030D},Point
70,Willow Oaks,0013503,2120 Everitt St,Redevelopment Commission of Greensboro,2/23/2016,8500,NUSSBAUM,No,Yes,Vacant Lot,7117.079374,7086,TN,006248,01878,2121 MCCONNELL RD WILL1968E1512,PURCHASED WITH 2122 EVERITT ST,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,75,Subject to RFP Process,{961CEFA6-2D83-46A6-9CE4-4AC034968755},Point
71,Willow Oaks,0021345,2128 Everitt St,Redevelopment Commission of Greensboro,3/4/2016,Null,Null,No,Yes,Vacant Lot,41470.033981,41333,TN,007652,00538,EVERITT ST APTS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,76,Subject to RFP Process,{EF8E5A23-183B-4AD5-9758-F3735651A4C1},Point
72,Willow Oaks,0013505,2122 McConnell Rd,Redevelopment Commission of Greensboro,2/23/2016,8500,NUSSBAUM,No,Yes,Vacant Lot,10717.169949,10592,TN,007712,02865,1 LOT,PURCHASED WITH 2120 EVERITT ST,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,77,Subject to RFP Process,{9C67CFCF-4E69-498E-ABA7-37746951B5AC},Point
73,Nealtown,0067562,20 Rocky Ridge Pt,Greensboro Housing Development Partnership,8/3/1993,Null,Null,Null,Yes,Vacant Lot,11503.498825,11220,R-7,004103,01555,103 PH 2 PB 109-3 NEALTOWN FARM,Null,Null,Yes,Null,78,Null,{7601432F-1F3F-46E4-8555-745F82A53B9D},Point
74,Nealtown,0067561,22 Rocky Ridge Pt,Greensboro Housing Development Partnership,8/3/1993,Null,Null,Null,Yes,Vacant Lot,12909.621658,12282,R-7,004103,01555,102 PH 2 PB 109-3 NEALTOWN FARM,Null,Null,Yes,Null,79,Null,{73F6B918-94F7-4AF2-9BBE-88C6FF91B602},Point
75,Ole Asheboro,0002761,802 Pearson St,Greensboro Housing Development Partnership,1/29/2008,Null,Null,No,Yes,Vacant Lot,168797.228974,168797,TN,006842,01362, 802 PEARSON S,4.36 ACRES,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,80,Subject to RFP Process,{4DC26238-0D65-492C-9FBB-1873CB92AD44},Point
79,Ole Asheboro,0001276,600 Martin Luther King Jr Dr,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,14877.651885,12264,R-5,006862,01945,.32AC 7 PB 122-70 GATEWAY PROJ,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,84,Null,{40CA7BA2-2141-4091-B05F-C3AD969E2C4C},Point
80,Ole Asheboro,0001277,606 Martin Luther King Jr Dr,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,16947.225095,15725,R-5,006862,01949,.38AC 8 PB 122-70 GATEWAY PROJ,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,85,Null,{76E4D268-6021-4FD5-A553-DD68AA23777F},Point
81,Ole Asheboro,0004954,630 E. Gate City Blvd,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,8720.17076,8960,R-5,006862,01973,630 E LEE ST,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,86,Null,{9EB9FAA0-CC79-4090-A20E-ED54097D7D37},Point
82,Ole Asheboro,0004955,700 E. Gate City Blvd,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,8939.805393,Null,R-5,006862,02009,.21 AC 2 PB 169-26 REDEVELOPMENT,ACQUIRED WITH 702 E GATE CITY BLVD TOTAL SQFT=17859,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,87,Null,{A794334F-D8C8-425C-AD89-6A388D6A4914},Point
83,Ole Asheboro,0004957,702 N E. Gate City Blvd,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,8565.827134,Null,R-5,006862,02017,.21 AC 1 PB 169-26 REDEVELOPMENT,ACQUIRED WITH 702 E GATE CITY BLVD TOTAL SQFT=17859,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,88,Null,{533DE2CC-3704-4AF2-B666-25F97F9553C0},Point
84,Ole Asheboro,0004962,710 Sevier St,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,9596.725092,10000,R-5,006862,01989,LOT 8,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,89,Null,{B8A0235F-8436-4C66-AF7C-720532256CF0},Point
85,Ole Asheboro,0002796,605 E. Bragg St,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,4762.0259,4400,R-5,006862,01977,PT 5 DOUGLAS SUB,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,90,Null,{E7345A5C-9EE5-44DE-9F09-BFB54252226C},Point
87,Ole Asheboro,0002906,901 Martin St,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,8990.097283,8750,R-5,006862,01941,1 B15 DOUGLAS HTS,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,92,Null,{94D58D9C-96AD-4EA4-93D7-7C7FD0E2197B},Point
88,Ole Asheboro,0005106,910 Reid St,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,7436.087669,7750,R-5,006862,01953,24 B13 PB6-69 DOUGLAS HTS 910 REID ST,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,94,Null,{F11288FF-8C5C-4E42-B7A9-5BBFE7BD2D82},Point
89,Ole Asheboro,0003161,610 Ross Ave,Redevelopment Commission of Greensboro,11/2/2009,Null,Null,Null,Yes,Vacant Lot,11934.878922,10825,R-5,006853,01242,610 ROSS AVE,ON THE GHDP LIST COUNTY HAS RCG AS OWNER,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,95,Null,{1A2927AE-3BDD-41A1-B9AB-98573EBDBC93},Point
90,Ole Asheboro,0005124,907 Sevier St,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,7834.787928,7800,R-5,006862,01985,6 B13 PB 669 6694-1082 DOUGLAS PARK,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,97,Null,{2D3B5925-C4E6-41E7-847A-0F066EDC667D},Point
91,Ole Asheboro,0002880,1013 Pearson St,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,14339.151933,14025,R-5,006862,02013,1013 PEARSON ST,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,98,Null,{28E8F963-B020-40BB-8E88-A54E5DD26FBE},Point
95,Ole Asheboro,0003037,711 Tuscaloosa St,Greensboro Housing Development Partnership,3/13/2008,Null,Null,Null,Yes,Vacant Lot,8351.193384,8550,R-5,006862,01981,TUSCALOOSA,Null,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=25724,Yes,Null,102,Null,{8EACB28A-DC3F-41C7-B28B-D72856B1BB12},Point
96,Willow Oaks,0013450,2104 Charles Harshaw Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,3045.639625,3011,TN,007203,00993, 3 ZONE B SH1 PB 170-7 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,103,Null,{D8EB2025-150A-464A-AA24-999E3ECB47C2},Point
97,Willow Oaks,0013451,2106 Charles Harshaw Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,3016.399994,2977,TN,007203,00993, 4 ZONE B SH1 PB 170-7 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,104,Null,{A25014EA-4743-4E54-BE1B-29996DC17A1B},Point
98,Willow Oaks,0013452,2108 Charles Harshaw Ave,Greensboro Housing Development Partnership,12/30/2010,Null,Null,Null,Yes,Vacant Lot,3844.225601,3803,TN,007203,00993, 5 ZONE B SH1 PB 170-7 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,105,Null,{87D6B7DA-E33A-4406-8F12-AF08F14765BA},Point
